C2181 0 BJ TJ 0 0 54
C2175 0 BJ TJ 0 0 54
K7727 0 BJ TJ 0 2 65
G4721 0 BJ TJ 1 0 58
G4723 0 BJ TJ 2 0 58
2601 0 BJ TJ 4 2 64
C2551 0 BJ TJ 6 0 54
C2553 0 BJ TJ 6 0 54
C2601 0 BJ TJ 6 0 54
C2603 0 BJ TJ 6 0 54
C2201 0 BJ TJ 6 0 54
C2001 0 BJ TJ 6 0 54
C2555 0 BJ TJ 6 0 54
C2003 0 BJ TJ 6 0 54
C2005 0 BJ TJ 6 0 54
G5 0 BJ TJ 7 0 54
G471 0 BJ TJ 7 0 54
G261 0 BJ TJ 7 0 54
C2557 0 BJ TJ 7 0 54
G57 0 BJ TJ 7 0 54
G105 0 BJ TJ 7 0 54
C2007 0 BJ TJ 7 0 54
G481 0 BJ TJ 7 0 54
C2009 0 BJ TJ 7 0 54
G177 0 BJ TJ 7 0 54
G383 0 BJ TJ 7 0 54
C2605 0 BJ TJ 7 0 54
C2203 0 BJ TJ 7 0 54
G143 0 BJ TJ 7 0 54
G381 0 BJ TJ 7 0 58
G219 0 BJ TJ 8 0 54
C2559 0 BJ TJ 8 0 54
C2011 0 BJ TJ 8 0 54
C2013 0 BJ TJ 8 0 54
G387 0 BJ TJ 8 0 54
C2607 0 BJ TJ 8 0 54
C2609 0 BJ TJ 8 0 54
D9121 0 BJ TJ 8 1 39
C2561 0 BJ TJ 8 0 54
C2015 0 BJ TJ 8 0 54
C2205 0 BJ TJ 8 0 54
C2563 0 BJ TJ 9 0 54
G395 0 BJ TJ 9 0 54
C2611 0 BJ TJ 9 0 54
G115 0 BJ TJ 9 0 54
C2017 0 BJ TJ 9 0 54
G117 0 BJ TJ 9 0 54
C2019 0 BJ TJ 9 0 54
C2565 0 BJ TJ 9 0 54
G33 0 BJ TJ 9 0 54
Z205 0 BJ TJ 9 1 102
C2567 0 BJ TJ 9 0 54
G8911 0 BJ TJ 9 0 54
D41 0 BJ TJ 9 0 24
C2207 0 BJ TJ 9 0 54
K1301 0 BJ TJ 9 2 67
C2021 0 BJ TJ 10 0 54
C2023 0 BJ TJ 10 0 54
C2025 0 BJ TJ 10 0 54
C2613 0 BJ TJ 10 0 54
C2569 0 BJ TJ 10 0 54
G301 0 BJ TJ 10 0 54
K45 0 BJ TJ 10 1 69
C2571 0 BJ TJ 10 0 54
G181 0 BJ TJ 10 0 54
G163 0 BJ TJ 10 0 54
G393 0 BJ TJ 10 0 54
C2615 0 BJ TJ 10 0 54
C2209 0 BJ TJ 10 0 54
D6635 0 BJ TJ 10 0 23
G123 0 BJ TJ 11 0 54
C2027 0 BJ TJ 11 0 54
G125 0 BJ TJ 11 0 54
T57 0 BJ TJ 11 1 65
C2029 0 BJ TJ 11 0 54
C2617 0 BJ TJ 11 0 54
G473 0 BJ TJ 11 0 54
C2573 0 BJ TJ 11 0 54
C2031 0 BJ TJ 11 0 54
C2575 0 BJ TJ 11 0 54
1461 0 BJ TJ 11 1 66
G9 0 BJ TJ 12 0 54
C2033 0 BJ TJ 12 0 54
K887 0 BJ TJ 12 1 67
G325 0 BJ TJ 12 0 54
G129 0 BJ TJ 12 0 54
C2211 0 BJ TJ 12 0 54
G497 0 BJ TJ 12 0 54
K5231 0 BJ TJ 12 1 35
C2619 0 BJ TJ 12 0 54
G303 0 BJ TJ 12 0 54
C2035 0 BJ TJ 12 0 54
G187 0 BJ TJ 12 0 54
2589 0 BJ TJ 12 1 64
C2037 0 BJ TJ 12 0 54
G167 0 BJ TJ 12 0 54
C2577 0 BJ TJ 12 0 54
G133 0 BJ TJ 12 0 54
G23 0 BJ TJ 13 0 54
C2621 0 BJ TJ 13 0 54
K215 0 BJ TJ 13 2 67
C2039 0 BJ TJ 13 0 54
C2041 0 BJ TJ 13 0 54
C2623 0 BJ TJ 13 0 54
K497 0 BJ TJ 13 1 60
T39 0 BJ TJ 13 1 67
C2579 0 BJ TJ 13 0 54
G397 0 BJ TJ 13 0 58
K265 0 BJ TJ 13 1 60
C2043 0 BJ TJ 14 0 54
C2625 0 BJ TJ 14 0 54
K349 0 BJ TJ 14 1 67
Y531 0 BJ TJ 14 1 21
C2045 0 BJ TJ 14 0 54
C2627 0 BJ TJ 14 0 54
K1785 0 BJ TJ 14 1 69
G193 0 BJ TJ 14 0 54
C2047 0 BJ TJ 14 0 54
C2581 0 BJ TJ 14 0 54
C2049 0 BJ TJ 14 0 54
C2051 0 BJ TJ 15 0 54
C2053 0 BJ TJ 15 0 54
C2213 0 BJ TJ 15 0 54
G161 0 BJ TJ 15 0 54
G399 0 BJ TJ 15 0 54
C2055 0 BJ TJ 15 0 54
C2631 0 BJ TJ 15 0 54
C2629 0 BJ TJ 15 0 54
G379 0 BJ TJ 15 0 54
C2215 0 BJ TJ 15 0 54
G147 0 BJ TJ 15 0 54
C2057 0 BJ TJ 16 0 54
G37 0 BJ TJ 16 0 54
C2633 0 BJ TJ 16 0 54
C2635 0 BJ TJ 16 0 54
C2583 0 BJ TJ 16 0 54
K1023 0 BJ TJ 16 1 67
C2585 0 BJ TJ 16 0 54
K285 0 BJ TJ 16 1 69
C2637 0 BJ TJ 16 0 54
G197 0 BJ TJ 16 0 54
